symbol,dimension7_sentiment,activity_score,momentum_score,recognition_score,modifiers,penalties,sector,interpretation
AAF.N0000,96.6,70,71,55,30,0,Financial,"Exceptional Financial sentiment - strong momentum, high liquidity"
AAF.P0000,51.75,60,45,48,0,0,Financial,Weak Financial sentiment - limited interest
AAIC.N0000,83.85,60,71,60,20,0,Financial,"Strong Financial sentiment - positive momentum, good liquidity"
ABAN.N0000,90.25,65,75,52,25,0,Industrial,"Exceptional Industrial sentiment - strong momentum, high liquidity"
ABL.N0000,68.85,60,61,62,8,0,Financial,Moderate Financial sentiment - mixed signals
ACAP.N0000,77.8,65,63,47,18,0,Industrial,"Strong Industrial sentiment - positive momentum, good liquidity"
ACL.N0000,91.75,55,75,66,27,0,Industrial,"Exceptional Industrial sentiment - strong momentum, high liquidity"
ACME.N0000,81.0,55,85,37,23,-3,Industrial,"Strong Industrial sentiment - positive momentum, good liquidity"
AEL.N0000,85.8,65,63,63,22,0,Industrial,"Exceptional Industrial sentiment - strong momentum, high liquidity"
AFS.N0000,47.0,60,45,41,0,-3,Industrial,Weak Industrial sentiment - limited interest
AFSL.N0000,61.2,60,67,55,0,0,Financial,Moderate Financial sentiment - mixed signals
AGAL.N0000,58.7,60,57,59,0,0,Industrial,Moderate Industrial sentiment - mixed signals
AGPL.N0000,66.35,65,41,64,10,0,Industrial,Moderate Industrial sentiment - mixed signals
AGST.N0000,58.2,45,67,55,8,-5,Industrial,Moderate Industrial sentiment - mixed signals
AGST.X0000,47.75,50,45,48,0,0,Industrial,Weak Industrial sentiment - limited interest
AHPL.N0000,89.35,70,51,66,27,0,Industrial,"Exceptional Industrial sentiment - strong momentum, high liquidity"
AHUN.N0000,93.55,70,63,66,27,0,Industrial,"Exceptional Industrial sentiment - strong momentum, high liquidity"
AINS.N0000,78.85,65,61,54,18,0,Financial,"Strong Financial sentiment - positive momentum, good liquidity"
ALLI.N0000,85.8,65,73,49,25,-3,Financial,"Exceptional Financial sentiment - strong momentum, high liquidity"
ALUM.N0000,55.95,50,57,64,0,0,Industrial,Moderate Industrial sentiment - mixed signals
AMF.N0000,58.55,55,63,58,0,0,Financial,Moderate Financial sentiment - mixed signals
AMSL.N0000,67.1,60,61,55,8,0,Industrial,Moderate Industrial sentiment - mixed signals
APLA.N0000,80.95,60,77,60,15,0,Industrial,"Strong Industrial sentiment - positive momentum, good liquidity"
ASCO.N0000,76.7,65,67,49,18,-3,Industrial,"Strong Industrial sentiment - positive momentum, good liquidity"
ASHO.N0000,100.0,70,81,59,35,0,Industrial,"Exceptional Industrial sentiment - strong momentum, high liquidity"
ASIR.N0000,81.85,60,61,66,20,0,Industrial,"Strong Industrial sentiment - positive momentum, good liquidity"
ASIY.N0000,91.55,65,73,60,25,0,Industrial,"Exceptional Industrial sentiment - strong momentum, high liquidity"
ASPH.N0000,59.349999999999994,50,51,54,8,0,Industrial,Moderate Industrial sentiment - mixed signals
ATL.N0000,61.05,45,73,58,8,-5,Financial,Moderate Financial sentiment - mixed signals
ATLL.N0000,70.85,60,71,56,8,0,Financial,"Strong Financial sentiment - positive momentum, good liquidity"
AUTO.N0000,86.85,60,81,58,20,0,Industrial,"Exceptional Industrial sentiment - strong momentum, high liquidity"
BALA.N0000,45.75,45,45,60,12,-15,Industrial,Weak Industrial sentiment - limited interest
BBH.N0000,54.849999999999994,55,51,60,0,0,Industrial,Weak Industrial sentiment - limited interest
BERU.N0000,69.25,60,55,56,12,0,Industrial,Moderate Industrial sentiment - mixed signals
BFL.N0000,68.75,50,75,58,8,0,Industrial,Moderate Industrial sentiment - mixed signals
BFN.N0000,71.15,65,59,58,10,0,Financial,"Strong Financial sentiment - positive momentum, good liquidity"
BIL.N0000,62.599999999999994,55,41,57,15,-3,Industrial,Moderate Industrial sentiment - mixed signals
BLUE.N0000,48.45,65,27,52,10,-10,Industrial,Weak Industrial sentiment - limited interest
