symbol,dimension5_management,capital_allocation_score,governance_score,track_record_score,modifiers,penalties,sector,interpretation
AAF.N0000,100.0,70,80,90,35,0,Financial,"Exceptional Financial management - excellent capital allocation, strong track record"
AAF.P0000,45.5,70,25,50,15,-20,Financial,"Weak Financial management - concerning trends, investigate"
AAIC.N0000,100.0,80,90,90,40,0,Financial,"Exceptional Financial management - excellent capital allocation, strong track record"
ABAN.N0000,100.0,85,80,85,40,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
ABL.N0000,72.5,70,65,50,10,0,Financial,Strong Financial management - solid capital allocation and value creation
ACAP.N0000,0.0,20,45,55,0,-40,Industrial,"Poor Industrial management - value destruction, avoid"
ACL.N0000,100.0,70,80,75,30,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
ACME.N0000,31.5,20,70,75,20,-40,Industrial,"Poor Industrial management - value destruction, avoid"
AEL.N0000,100.0,60,80,90,25,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
AFS.N0000,39.0,70,25,45,10,-20,Industrial,"Poor Industrial management - value destruction, avoid"
AFSL.N0000,100.0,60,80,95,25,0,Financial,"Exceptional Financial management - excellent capital allocation, strong track record"
AGAL.N0000,35.0,20,70,70,15,-30,Industrial,"Poor Industrial management - value destruction, avoid"
AGPL.N0000,0.0,0,25,20,0,-40,Industrial,"Poor Industrial management - value destruction, avoid"
AGST.N0000,32.0,20,70,60,15,-30,Industrial,"Poor Industrial management - value destruction, avoid"
AGST.X0000,0.0,20,25,25,0,-40,Industrial,"Poor Industrial management - value destruction, avoid"
AHPL.N0000,50.0,60,65,55,0,0,Industrial,"Weak Industrial management - concerning trends, investigate"
AHUN.N0000,100.0,70,80,75,30,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
AINS.N0000,64.0,70,55,65,10,-10,Financial,Moderate Financial management - acceptable but room for improvement
ALLI.N0000,100.0,85,90,100,50,0,Financial,"Exceptional Financial management - excellent capital allocation, strong track record"
ALUM.N0000,100.0,80,80,85,35,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
AMF.N0000,100.0,70,90,90,35,0,Financial,"Exceptional Financial management - excellent capital allocation, strong track record"
AMSL.N0000,67.5,55,75,60,5,0,Industrial,Moderate Industrial management - acceptable but room for improvement
APLA.N0000,70.5,55,70,75,30,-25,Industrial,Strong Industrial management - solid capital allocation and value creation
ASCO.N0000,44.0,60,50,50,0,-10,Industrial,"Weak Industrial management - concerning trends, investigate"
ASHO.N0000,100.0,95,80,100,50,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
ASIR.N0000,80.5,60,75,80,10,0,Industrial,Strong Industrial management - solid capital allocation and value creation
ASIY.N0000,87.0,55,80,70,20,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
ASPH.N0000,0.0,25,15,20,0,-40,Industrial,"Poor Industrial management - value destruction, avoid"
ATL.N0000,92.0,60,80,80,20,0,Financial,"Exceptional Financial management - excellent capital allocation, strong track record"
ATLL.N0000,40.0,55,90,60,25,0,Financial,"Weak Financial management - concerning trends, investigate"
AUTO.N0000,40.0,55,70,65,20,-10,Industrial,"Weak Industrial management - concerning trends, investigate"
BALA.N0000,53.0,40,70,70,20,-25,Industrial,"Weak Industrial management - concerning trends, investigate"
BBH.N0000,17.0,20,65,65,0,-30,Industrial,"Poor Industrial management - value destruction, avoid"
BERU.N0000,100.0,70,80,80,30,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
BFL.N0000,92.0,55,90,60,25,0,Industrial,"Exceptional Industrial management - excellent capital allocation, strong track record"
